HQ state,startup_count,funded_count,grant_count,vc_count,total_funding_eur_m,median_funding_eur_m,avg_startup_age,sector_diversity,top_industry,pct_operational,pct_closed,funded_ratio,grant_ratio,vc_ratio
Aveiro,160,25,24,18,36.96,0.12,11.1,28,health,81.9,5.0,15.6,15.0,11.2
Açores,34,3,2,4,1.23,0.29,6.7,13,travel,100.0,0.0,8.8,5.9,11.8
Beja,8,2,1,1,0.76,0.38,7.0,4,food,75.0,0.0,25.0,12.5,12.5
Braga,219,49,31,53,119.5,0.91,9.7,29,health,84.5,4.1,22.4,14.2,24.2
Bragança,11,3,3,2,4.71,0.1,5.0,7,health,81.8,0.0,27.3,27.3,18.2
Castelo Branco,46,10,9,7,25.19,0.33,7.7,15,health,84.8,8.7,21.7,19.6,15.2
Coimbra,187,47,48,48,433.0,0.4,11.2,26,health,85.6,3.7,25.1,25.7,25.7
Faro,96,12,8,10,8.43,0.1,8.0,19,travel,83.3,7.3,12.5,8.3,10.4
Guarda,11,2,0,3,21.14,10.57,10.5,9,real estate,72.7,0.0,18.2,0.0,27.3
Leiria,110,17,11,15,54.53,0.95,10.1,22,food,90.9,3.6,15.5,10.0,13.6
Lisboa,1731,302,186,333,1382.83,0.72,8.8,30,enterprise software,76.8,15.1,17.4,10.7,19.2
Madeira,59,5,6,6,26.81,0.29,9.4,19,fintech,91.5,3.4,8.5,10.2,10.2
Portalegre,2,1,1,0,0.06,0.06,8.0,2,energy,50.0,0.0,50.0,50.0,0.0
Porto,959,131,78,141,393.02,0.65,10.0,30,health,75.5,12.5,13.7,8.1,14.7
Santarém,33,9,4,9,6.87,0.17,8.8,13,health,93.9,3.0,27.3,12.1,27.3
Setúbal,89,12,7,8,20.95,0.27,10.4,22,enterprise software,74.2,16.9,13.5,7.9,9.0
Viana do Castelo,16,3,3,2,23.12,0.85,10.0,10,fashion,87.5,0.0,18.8,18.8,12.5
Vila Real,10,4,3,1,2.21,0.08,8.8,9,food,80.0,0.0,40.0,30.0,10.0
Viseu,29,8,6,7,55.57,0.4,11.5,15,food,86.2,0.0,27.6,20.7,24.1
Évora,37,8,3,7,7.8,0.25,7.4,11,travel,78.4,16.2,21.6,8.1,18.9
